year,term_id,label,family,query,count,total_ai_subfield_count,share_per_million_ai,source,fetched_at
1990,software_agent,Software agent,classic_agents,software agent,0,21158,0.0,OpenAlex Works API,2026-06-16T04:06:47+00:00
1991,software_agent,Software agent,classic_agents,software agent,1,22349,44.7447313078885,OpenAlex Works API,2026-06-16T04:06:47+00:00
1992,software_agent,Software agent,classic_agents,software agent,4,23653,169.11174058258993,OpenAlex Works API,2026-06-16T04:06:47+00:00
1993,software_agent,Software agent,classic_agents,software agent,3,25158,119.24636298592893,OpenAlex Works API,2026-06-16T04:06:47+00:00
1994,software_agent,Software agent,classic_agents,software agent,24,26794,895.7229230424722,OpenAlex Works API,2026-06-16T04:06:47+00:00
1995,software_agent,Software agent,classic_agents,software agent,21,26904,780.5530776092775,OpenAlex Works API,2026-06-16T04:06:47+00:00
1996,software_agent,Software agent,classic_agents,software agent,41,29153,1406.3732720474736,OpenAlex Works API,2026-06-16T04:06:47+00:00
1997,software_agent,Software agent,classic_agents,software agent,87,29914,2908.33723340242,OpenAlex Works API,2026-06-16T04:06:47+00:00
1998,software_agent,Software agent,classic_agents,software agent,96,31714,3027.0542977864666,OpenAlex Works API,2026-06-16T04:06:47+00:00
1999,software_agent,Software agent,classic_agents,software agent,111,33874,3276.8495010922834,OpenAlex Works API,2026-06-16T04:06:47+00:00
2000,software_agent,Software agent,classic_agents,software agent,108,41526,2600.780234070221,OpenAlex Works API,2026-06-16T04:06:47+00:00
2001,software_agent,Software agent,classic_agents,software agent,146,44494,3281.3413044455433,OpenAlex Works API,2026-06-16T04:06:47+00:00
2002,software_agent,Software agent,classic_agents,software agent,220,73657,2986.817274665001,OpenAlex Works API,2026-06-16T04:06:47+00:00
2003,software_agent,Software agent,classic_agents,software agent,205,67152,3052.7757922325472,OpenAlex Works API,2026-06-16T04:06:47+00:00
2004,software_agent,Software agent,classic_agents,software agent,191,70798,2697.816322494986,OpenAlex Works API,2026-06-16T04:06:47+00:00
2005,software_agent,Software agent,classic_agents,software agent,215,82525,2605.271129960618,OpenAlex Works API,2026-06-16T04:06:47+00:00
2006,software_agent,Software agent,classic_agents,software agent,248,89867,2759.633680883973,OpenAlex Works API,2026-06-16T04:06:47+00:00
2007,software_agent,Software agent,classic_agents,software agent,200,94006,2127.5237750781866,OpenAlex Works API,2026-06-16T04:06:47+00:00
