year,primary_assignments,any_topic_assignments,ai_works,primary_per_work,any_topic_assignments_per_work
1990,21171,28504,21171,1.0,1.3463700344811298
1991,22358,30820,22358,1.0,1.3784775024599696
1992,23668,32558,23668,1.0,1.3756126415413217
1993,25174,34555,25174,1.0,1.372646381186939
1994,26808,37621,26808,1.0,1.4033497463443747
1995,26910,37425,26910,1.0,1.390746934225195
1996,29167,40521,29167,1.0,1.3892755511365584
1997,29921,41870,29921,1.0,1.3993516259483305
1998,31737,44919,31737,1.0,1.4153511674071273
1999,33899,47539,33899,1.0,1.4023717513790968
2000,41542,57537,41542,1.0,1.3850320157912475
2001,44511,60460,44511,1.0,1.3583159219069443
2002,73689,105398,73689,1.0,1.4303084585216246
2003,67186,93652,67186,1.0,1.3939213526627572
2004,70835,97745,70835,1.0,1.379896943601327
2005,82556,114353,82556,1.0,1.3851567420902176
2006,89915,124584,89915,1.0,1.3855752655285547
2007,94054,129733,94054,1.0,1.3793459076700618
2008,97967,135457,97967,1.0,1.382679882001082
2009,104332,143699,104332,1.0,1.377324310853813
2010,110997,153616,110997,1.0,1.383965332396371
2011,113882,156664,113882,1.0,1.3756695526948948
2012,117229,163828,117229,1.0,1.3975040305726398
2013,119603,167879,119603,1.0,1.4036353603170488
2014,123428,173722,123428,1.0,1.4074764235019606
2015,123162,173940,123162,1.0,1.4122862571247625
2016,133301,188404,133301,1.0,1.4133727428901508
2017,135900,193633,135900,1.0,1.4248197203826343
2018,151657,222787,151657,1.0,1.4690189045016055
2019,170876,251856,170876,1.0,1.4739109061541702
2020,187432,280695,187432,1.0,1.4975831234794486
2021,188280,290285,188280,1.0,1.5417728914382833
2022,182108,279422,182108,1.0,1.5343752059217608
2023,213149,330172,213149,1.0,1.5490196998343881
2024,233624,343553,233624,1.0,1.4705381296442146
2025,287086,433755,287086,1.0,1.5108887232397261
2026,214412,345429,214412,1.0,1.6110525530287485
