cutoff_year,eval_end_year,top_k,weight_set,candidate,spearman,n_topics
2005,2008,3,fixed_50_30_20,k3_fixed_50_30_20,0.3333973589435774,50
2005,2008,3,spectral_equal,k3_spectral_equal,0.4698679471788715,50
2005,2008,3,equal_with_accel,k3_equal_with_accel,0.2697238895558223,50
2005,2008,3,local_only,k3_local_only,0.31995198079231685,50
2005,2008,3,midband_only,k3_midband_only,0.5315246098439376,50
2005,2008,5,fixed_50_30_20,k5_fixed_50_30_20,0.3439615846338535,50
2005,2008,5,spectral_equal,k5_spectral_equal,0.44998799519807914,50
2005,2008,5,equal_with_accel,k5_equal_with_accel,0.3027611044417767,50
2005,2008,5,local_only,k5_local_only,0.3749819927971188,50
2005,2008,5,midband_only,k5_midband_only,0.5362304921968788,50
2005,2008,7,fixed_50_30_20,k7_fixed_50_30_20,0.3641296518607443,50
2005,2008,7,spectral_equal,k7_spectral_equal,0.46641056422569027,50
2005,2008,7,equal_with_accel,k7_equal_with_accel,0.3041056422569028,50
2005,2008,7,local_only,k7_local_only,0.3802641056422568,50
2005,2008,7,midband_only,k7_midband_only,0.5355582232893157,50
2005,2008,10,fixed_50_30_20,k10_fixed_50_30_20,0.375750300120048,50
2005,2008,10,spectral_equal,k10_spectral_equal,0.47505402160864346,50
2005,2008,10,equal_with_accel,k10_equal_with_accel,0.32974789915966385,50
2005,2008,10,local_only,k10_local_only,0.3999519807923169,50
2005,2008,10,midband_only,k10_midband_only,0.531140456182473,50
2005,2008,15,fixed_50_30_20,k15_fixed_50_30_20,0.39927971188475386,50
2005,2008,15,spectral_equal,k15_spectral_equal,0.5154861944777911,50
2005,2008,15,equal_with_accel,k15_equal_with_accel,0.36470588235294116,50
2005,2008,15,local_only,k15_local_only,0.4338535414165666,50
2005,2008,15,midband_only,k15_midband_only,0.5405522208883553,50
2006,2009,3,fixed_50_30_20,k3_fixed_50_30_20,0.6015538290788013,52
2006,2009,3,spectral_equal,k3_spectral_equal,0.5664646119696064,52
2006,2009,3,equal_with_accel,k3_equal_with_accel,0.6625971143174251,52
2006,2009,3,local_only,k3_local_only,0.3893963971655426,52
2006,2009,3,midband_only,k3_midband_only,0.693076069324682,52
2006,2009,5,fixed_50_30_20,k5_fixed_50_30_20,0.6147016135917357,52
2006,2009,5,spectral_equal,k5_spectral_equal,0.5792708955861008,52
2006,2009,5,equal_with_accel,k5_equal_with_accel,0.6771962776402287,52
2006,2009,5,local_only,k5_local_only,0.43806027490822164,52
2006,2009,5,midband_only,k5_midband_only,0.7013574660633483,52
2006,2009,7,fixed_50_30_20,k7_fixed_50_30_20,0.6593528558012465,52
2006,2009,7,spectral_equal,k7_spectral_equal,0.6281908990011098,52
2006,2009,7,equal_with_accel,k7_equal_with_accel,0.7004183385981388,52
2006,2009,7,local_only,k7_local_only,0.5206181166225561,52
2006,2009,7,midband_only,k7_midband_only,0.7060531033893964,52
2006,2009,10,fixed_50_30_20,k10_fixed_50_30_20,0.6660974985059336,52
2006,2009,10,spectral_equal,k10_spectral_equal,0.6421070605310338,52
2006,2009,10,equal_with_accel,k10_equal_with_accel,0.7061384786135064,52
2006,2009,10,local_only,k10_local_only,0.5375224109963289,52
2006,2009,10,midband_only,k10_midband_only,0.7158712541620422,52
2006,2009,15,fixed_50_30_20,k15_fixed_50_30_20,0.6913685648424827,52
2006,2009,15,spectral_equal,k15_spectral_equal,0.6739520191240501,52
2006,2009,15,equal_with_accel,k15_equal_with_accel,0.7197985144711004,52
2006,2009,15,local_only,k15_local_only,0.5823444036540596,52
2006,2009,15,midband_only,k15_midband_only,0.7290190386749765,52
2007,2010,3,fixed_50_30_20,k3_fixed_50_30_20,0.29523809523809524,55
2007,2010,3,spectral_equal,k3_spectral_equal,0.4112554112554113,55
2007,2010,3,equal_with_accel,k3_equal_with_accel,0.23975468975468978,55
2007,2010,3,local_only,k3_local_only,0.25382395382395384,55
2007,2010,3,midband_only,k3_midband_only,0.4854256854256855,55
2007,2010,5,fixed_50_30_20,k5_fixed_50_30_20,0.31515151515151524,55
2007,2010,5,spectral_equal,k5_spectral_equal,0.3965367965367966,55
2007,2010,5,equal_with_accel,k5_equal_with_accel,0.2549783549783551,55
2007,2010,5,local_only,k5_local_only,0.2935786435786436,55
2007,2010,5,midband_only,k5_midband_only,0.4681096681096682,55
2007,2010,7,fixed_50_30_20,k7_fixed_50_30_20,0.32647907647907654,55
2007,2010,7,spectral_equal,k7_spectral_equal,0.4165945165945167,55
2007,2010,7,equal_with_accel,k7_equal_with_accel,0.2697691197691198,55
2007,2010,7,local_only,k7_local_only,0.31500721500721507,55
2007,2010,7,midband_only,k7_midband_only,0.47453102453102464,55
2007,2010,10,fixed_50_30_20,k10_fixed_50_30_20,0.35360750360750365,55
2007,2010,10,spectral_equal,k10_spectral_equal,0.4467532467532468,55
2007,2010,10,equal_with_accel,k10_equal_with_accel,0.2900432900432901,55
2007,2010,10,local_only,k10_local_only,0.3556998556998558,55
2007,2010,10,midband_only,k10_midband_only,0.48412698412698424,55
2007,2010,15,fixed_50_30_20,k15_fixed_50_30_20,0.35317460317460325,55
2007,2010,15,spectral_equal,k15_spectral_equal,0.46940836940836955,55
2007,2010,15,equal_with_accel,k15_equal_with_accel,0.2934343434343435,55
2007,2010,15,local_only,k15_local_only,0.3891053391053392,55
2007,2010,15,midband_only,k15_midband_only,0.4927849927849929,55
2008,2011,3,fixed_50_30_20,k3_fixed_50_30_20,0.6214627477785374,56
2008,2011,3,spectral_equal,k3_spectral_equal,0.6615857826384143,56
2008,2011,3,equal_with_accel,k3_equal_with_accel,0.6488721804511278,56
2008,2011,3,local_only,k3_local_only,0.4775803144224197,56
2008,2011,3,midband_only,k3_midband_only,0.7181818181818183,56
2008,2011,5,fixed_50_30_20,k5_fixed_50_30_20,0.6786739576213261,56
2008,2011,5,spectral_equal,k5_spectral_equal,0.7100478468899523,56
2008,2011,5,equal_with_accel,k5_equal_with_accel,0.6778537252221464,56
2008,2011,5,local_only,k5_local_only,0.57095010252905,56
2008,2011,5,midband_only,k5_midband_only,0.7228298017771702,56
2008,2011,7,fixed_50_30_20,k7_fixed_50_30_20,0.684894053315106,56
2008,2011,7,spectral_equal,k7_spectral_equal,0.6975393028024607,56
2008,2011,7,equal_with_accel,k7_equal_with_accel,0.679084073820916,56
2008,2011,7,local_only,k7_local_only,0.6244019138755982,56
2008,2011,7,midband_only,k7_midband_only,0.7309637730690364,56
2008,2011,10,fixed_50_30_20,k10_fixed_50_30_20,0.6826384142173616,56
2008,2011,10,spectral_equal,k10_spectral_equal,0.7094326725905673,56
2008,2011,10,equal_with_accel,k10_equal_with_accel,0.6897470950102529,56
2008,2011,10,local_only,k10_local_only,0.6584415584415585,56
2008,2011,10,midband_only,k10_midband_only,0.7390977443609023,56
2008,2011,15,fixed_50_30_20,k15_fixed_50_30_20,0.7345181134654819,56
2008,2011,15,spectral_equal,k15_spectral_equal,0.735475051264525,56
2008,2011,15,equal_with_accel,k15_equal_with_accel,0.7251537935748462,56
2008,2011,15,local_only,k15_local_only,0.7075187969924812,56
2008,2011,15,midband_only,k15_midband_only,0.7558441558441558,56
2009,2012,3,fixed_50_30_20,k3_fixed_50_30_20,0.5593776048902475,60
2009,2012,3,spectral_equal,k3_spectral_equal,0.6722978605168104,60
2009,2012,3,equal_with_accel,k3_equal_with_accel,0.5382050569602668,60
2009,2012,3,local_only,k3_local_only,0.4286190608502362,60
2009,2012,3,midband_only,k3_midband_only,0.7802167268685748,60
2009,2012,5,fixed_50_30_20,k5_fixed_50_30_20,0.6231175326479579,60
2009,2012,5,spectral_equal,k5_spectral_equal,0.7187552097804948,60
2009,2012,5,equal_with_accel,k5_equal_with_accel,0.584051125312587,60
2009,2012,5,local_only,k5_local_only,0.5634342873020285,60
2009,2012,5,midband_only,k5_midband_only,0.7952764656849126,60
2009,2012,7,fixed_50_30_20,k7_fixed_50_30_20,0.6567379827729927,60
2009,2012,7,spectral_equal,k7_spectral_equal,0.7566546262850793,60
2009,2012,7,equal_with_accel,k7_equal_with_accel,0.606724090025007,60
2009,2012,7,local_only,k7_local_only,0.6453459294248404,60
2009,2012,7,midband_only,k7_midband_only,0.7958877465962769,60
2009,2012,10,fixed_50_30_20,k10_fixed_50_30_20,0.6963601000277856,60
2009,2012,10,spectral_equal,k10_spectral_equal,0.7567657682689638,60
2009,2012,10,equal_with_accel,k10_equal_with_accel,0.6216726868574606,60
2009,2012,10,local_only,k10_local_only,0.6716310086135039,60
2009,2012,10,midband_only,k10_midband_only,0.7984995832175605,60
2009,2012,15,fixed_50_30_20,k15_fixed_50_30_20,0.7119755487635455,60
2009,2012,15,spectral_equal,k15_spectral_equal,0.7815504306751877,60
2009,2012,15,equal_with_accel,k15_equal_with_accel,0.6542928591275355,60
2009,2012,15,local_only,k15_local_only,0.744984717977216,60
2009,2012,15,midband_only,k15_midband_only,0.8065573770491804,60
2010,2013,3,fixed_50_30_20,k3_fixed_50_30_20,0.5670122887864824,63
2010,2013,3,spectral_equal,k3_spectral_equal,0.5870775729646698,63
2010,2013,3,equal_with_accel,k3_equal_with_accel,0.5903897849462366,63
2010,2013,3,local_only,k3_local_only,0.3732718894009217,63
2010,2013,3,midband_only,k3_midband_only,0.6944124423963134,63
2010,2013,5,fixed_50_30_20,k5_fixed_50_30_20,0.563892089093702,63
2010,2013,5,spectral_equal,k5_spectral_equal,0.601718509984639,63
2010,2013,5,equal_with_accel,k5_equal_with_accel,0.595910138248848,63
2010,2013,5,local_only,k5_local_only,0.433707757296467,63
2010,2013,5,midband_only,k5_midband_only,0.6850038402457758,63
2010,2013,7,fixed_50_30_20,k7_fixed_50_30_20,0.5993663594470047,63
2010,2013,7,spectral_equal,k7_spectral_equal,0.6276401689708142,63
2010,2013,7,equal_with_accel,k7_equal_with_accel,0.6192876344086021,63
2010,2013,7,local_only,k7_local_only,0.5055203533026114,63
2010,2013,7,midband_only,k7_midband_only,0.6961885560675883,63
2010,2013,10,fixed_50_30_20,k10_fixed_50_30_20,0.627784178187404,63
2010,2013,10,spectral_equal,k10_spectral_equal,0.6443452380952381,63
2010,2013,10,equal_with_accel,k10_equal_with_accel,0.6524577572964669,63
2010,2013,10,local_only,k10_local_only,0.5562596006144394,63
2010,2013,10,midband_only,k10_midband_only,0.6961885560675883,63
2010,2013,15,fixed_50_30_20,k15_fixed_50_30_20,0.6850038402457758,63
2010,2013,15,spectral_equal,k15_spectral_equal,0.6992607526881721,63
2010,2013,15,equal_with_accel,k15_equal_with_accel,0.6897081413210446,63
2010,2013,15,local_only,k15_local_only,0.658410138248848,63
2010,2013,15,midband_only,k15_midband_only,0.723310291858679,63
2011,2014,3,fixed_50_30_20,k3_fixed_50_30_20,0.26469780219780215,64
2011,2014,3,spectral_equal,k3_spectral_equal,0.42449633699633693,64
2011,2014,3,equal_with_accel,k3_equal_with_accel,0.22985347985347987,64
2011,2014,3,local_only,k3_local_only,0.1574175824175824,64
2011,2014,3,midband_only,k3_midband_only,0.6277472527472526,64
2011,2014,5,fixed_50_30_20,k5_fixed_50_30_20,0.3328296703296703,64
2011,2014,5,spectral_equal,k5_spectral_equal,0.46652930402930404,64
2011,2014,5,equal_with_accel,k5_equal_with_accel,0.28415750915750915,64
2011,2014,5,local_only,k5_local_only,0.2755494505494505,64
2011,2014,5,midband_only,k5_midband_only,0.6190018315018314,64
2011,2014,7,fixed_50_30_20,k7_fixed_50_30_20,0.37101648351648353,64
2011,2014,7,spectral_equal,k7_spectral_equal,0.5013736263736264,64
2011,2014,7,equal_with_accel,k7_equal_with_accel,0.3157509157509157,64
2011,2014,7,local_only,k7_local_only,0.32614468864468865,64
2011,2014,7,midband_only,k7_midband_only,0.6211538461538461,64
2011,2014,10,fixed_50_30_20,k10_fixed_50_30_20,0.4611721611721612,64
2011,2014,10,spectral_equal,k10_spectral_equal,0.5562271062271061,64
2011,2014,10,equal_with_accel,k10_equal_with_accel,0.38704212454212444,64
2011,2014,10,local_only,k10_local_only,0.41978021978021973,64
2011,2014,10,midband_only,k10_midband_only,0.6268315018315017,64
2011,2014,15,fixed_50_30_20,k15_fixed_50_30_20,0.5355311355311355,64
2011,2014,15,spectral_equal,k15_spectral_equal,0.602518315018315,64
2011,2014,15,equal_with_accel,k15_equal_with_accel,0.4367216117216117,64
2011,2014,15,local_only,k15_local_only,0.5365842490842491,64
2011,2014,15,midband_only,k15_midband_only,0.6468864468864468,64
2012,2015,3,fixed_50_30_20,k3_fixed_50_30_20,0.4631875587099468,66
2012,2015,3,spectral_equal,k3_spectral_equal,0.5125769752635425,66
2012,2015,3,equal_with_accel,k3_equal_with_accel,0.48051351633441197,66
2012,2015,3,local_only,k3_local_only,0.341697108861288,66
2012,2015,3,midband_only,k3_midband_only,0.6972758584698884,66
2012,2015,5,fixed_50_30_20,k5_fixed_50_30_20,0.5018056570295376,66
2012,2015,5,spectral_equal,k5_spectral_equal,0.5681870368437534,66
2012,2015,5,equal_with_accel,k5_equal_with_accel,0.5243920258845632,66
2012,2015,5,local_only,k5_local_only,0.4127961590648158,66
2012,2015,5,midband_only,k5_midband_only,0.7164805343909822,66
2012,2015,7,fixed_50_30_20,k7_fixed_50_30_20,0.547896879240163,66
2012,2015,7,spectral_equal,k7_spectral_equal,0.6068051351633442,66
2012,2015,7,equal_with_accel,k7_equal_with_accel,0.555745746790523,66
2012,2015,7,local_only,k7_local_only,0.4813485022440247,66
2012,2015,7,midband_only,k7_midband_only,0.7208224611209687,66
2012,2015,10,fixed_50_30_20,k10_fixed_50_30_20,0.590314163448492,66
2012,2015,10,spectral_equal,k10_spectral_equal,0.6654628953136417,66
2012,2015,10,equal_with_accel,k10_equal_with_accel,0.5838430226489929,66
2012,2015,10,local_only,k10_local_only,0.5496920989458304,66
2012,2015,10,midband_only,k10_midband_only,0.7269596075566226,66
2012,2015,15,fixed_50_30_20,k15_fixed_50_30_20,0.6430852729360194,66
2012,2015,15,spectral_equal,k15_spectral_equal,0.7105938837282123,66
2012,2015,15,equal_with_accel,k15_equal_with_accel,0.6221271266047387,66
2012,2015,15,local_only,k15_local_only,0.6474271996660057,66
2012,2015,15,midband_only,k15_midband_only,0.7401106356330237,66
2013,2016,3,fixed_50_30_20,k3_fixed_50_30_20,0.4144243815885608,66
2013,2016,3,spectral_equal,k3_spectral_equal,0.5271474793862854,66
2013,2016,3,equal_with_accel,k3_equal_with_accel,0.40127335351215954,66
2013,2016,3,local_only,k3_local_only,0.28658803882684486,66
2013,2016,3,midband_only,k3_midband_only,0.7054587203840935,66
2013,2016,5,fixed_50_30_20,k5_fixed_50_30_20,0.4822252374491181,66
2013,2016,5,spectral_equal,k5_spectral_equal,0.5859722367185054,66
2013,2016,5,equal_with_accel,k5_equal_with_accel,0.4590543784573636,66
2013,2016,5,local_only,k5_local_only,0.38127544097693356,66
2013,2016,5,midband_only,k5_midband_only,0.7171902724141531,66
2013,2016,7,fixed_50_30_20,k7_fixed_50_30_20,0.5309884145705042,66
2013,2016,7,spectral_equal,k7_spectral_equal,0.6106043210520823,66
2013,2016,7,equal_with_accel,k7_equal_with_accel,0.49316355286504554,66
2013,2016,7,local_only,k7_local_only,0.445485857426156,66
2013,2016,7,midband_only,k7_midband_only,0.7240371568729779,66
2013,2016,10,fixed_50_30_20,k10_fixed_50_30_20,0.5866402254461957,66
2013,2016,10,spectral_equal,k10_spectral_equal,0.6607452249243295,66
2013,2016,10,equal_with_accel,k10_equal_with_accel,0.532282642730404,66
2013,2016,10,local_only,k10_local_only,0.5418432313954703,66
2013,2016,10,midband_only,k10_midband_only,0.732804508923912,66
2013,2016,15,fixed_50_30_20,k15_fixed_50_30_20,0.6290575096545247,66
2013,2016,15,spectral_equal,k15_spectral_equal,0.7019100302682394,66
2013,2016,15,equal_with_accel,k15_equal_with_accel,0.570191003026824,66
2013,2016,15,local_only,k15_local_only,0.6435445151863063,66
2013,2016,15,midband_only,k15_midband_only,0.7472080158647324,66
2014,2017,3,fixed_50_30_20,k3_fixed_50_30_20,0.5017639077340571,66
2014,2017,3,spectral_equal,k3_spectral_equal,0.5769543888946875,66
2014,2017,3,equal_with_accel,k3_equal_with_accel,0.5372925581880806,66
2014,2017,3,local_only,k3_local_only,0.3621960129422817,66
2014,2017,3,midband_only,k3_midband_only,0.7372299342448598,66
2014,2017,5,fixed_50_30_20,k5_fixed_50_30_20,0.5030163865984761,66
2014,2017,5,spectral_equal,k5_spectral_equal,0.5767873917127649,66
2014,2017,5,equal_with_accel,k5_equal_with_accel,0.5242250287026408,66
2014,2017,5,local_only,k5_local_only,0.38069095084020466,66
2014,2017,5,midband_only,k5_midband_only,0.7192359878927045,66
2014,2017,7,fixed_50_30_20,k7_fixed_50_30_20,0.5554535017221586,66
2014,2017,7,spectral_equal,k7_spectral_equal,0.6210416449222421,66
2014,2017,7,equal_with_accel,k7_equal_with_accel,0.5438054482830603,66
2014,2017,7,local_only,k7_local_only,0.4453188602442335,66
2014,2017,7,midband_only,k7_midband_only,0.726917858261142,66
2014,2017,10,fixed_50_30_20,k10_fixed_50_30_20,0.5943220958146332,66
2014,2017,10,spectral_equal,k10_spectral_equal,0.6703058135893958,66
2014,2017,10,equal_with_accel,k10_equal_with_accel,0.5758271579167102,66
2014,2017,10,local_only,k10_local_only,0.5307796680931011,66
2014,2017,10,midband_only,k10_midband_only,0.7344744807431376,66
