cutoff_year,eval_end_year,selected_candidate,training_cutoffs,training_mean_spearman,selected_spearman,baseline_spearman,delta_vs_baseline,n_topics
2010,2013,k15_midband_only,3,0.5874520841161083,0.723310291858679,0.805155529953917,-0.08184523809523803,63
2011,2014,k15_midband_only,4,0.6295501020481201,0.6468864468864468,0.7342490842490842,-0.08736263736263739,64
2012,2015,k15_midband_only,5,0.6649515570483322,0.7401106356330237,0.8196847928191213,-0.07957415718609762,66
2013,2016,k15_midband_only,6,0.6746780128500567,0.7472080158647324,0.8406846884458826,-0.09347667258115022,66
2014,2017,k15_midband_only,7,0.6707077891409695,0.7475420102285775,0.801106356330237,-0.0535643461016595,66
2015,2018,k15_midband_only,8,0.6793831449524763,0.7837047862623311,0.8318597004019,-0.04815491413956896,69
2016,2019,k15_midband_only,9,0.6869192417205048,0.7628786417132936,0.8052607884751434,-0.042382146761849815,72
2017,2020,k15_midband_only,10,0.692981518571312,0.737312106627175,0.7840207330618287,-0.04670862643465379,74
2018,2021,k15_midband_only,11,0.7012290883614046,0.7452795261014439,0.805257312106627,-0.05997778600518311,74
2019,2022,k15_midband_only,12,0.7063665511407288,0.7721436504998147,0.8969270640503516,-0.1247834135505369,74
2020,2023,k15_midband_only,13,0.70874697848584,0.7068847795163584,0.8378947368421051,-0.13100995732574672,75
2021,2024,k15_midband_only,14,0.7113564461726688,0.6286252005430089,0.693662840923115,-0.06503764038010618,73
2022,2025,k15_midband_only,15,0.7154089264611453,0.5225768233987411,0.47506849315068483,0.047508330248056285,74
