feature,feature_label,spearman,top10_hits,average_precision,n_topics,cutoff_year,eval_end_year,scope,scope_label
baseline_growth_3y,CLR growth baseline,0.689891956782713,6,0.6604845602426247,50,2005,2008,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.5694597839135654,5,0.4774550117813875,50,2005,2008,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.5355582232893157,4,0.45997052289815443,50,2005,2008,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.3802641056422568,4,0.44023035530001475,50,2005,2008,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.3641296518607443,4,0.39519284636931695,50,2005,2008,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.4404801920768307,0,0.13146593132353568,50,2005,2008,primary,Primary topic
raw_acceleration_1y,1-year acceleration,-0.4642016806722689,0,0.1351661716899817,50,2005,2008,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.7384956885511824,6,0.7352938727938729,52,2006,2009,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7139929992316228,6,0.6465509928667824,52,2006,2009,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7060531033893964,6,0.6408241758241758,52,2006,2009,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.6593528558012465,7,0.6827198036405198,52,2006,2009,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.5206181166225561,6,0.5719155844155843,52,2006,2009,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.5096900879364809,4,0.5248992673992674,52,2006,2009,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.5592077179202596,0,0.1285497631637139,52,2006,2009,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.5771284271284273,5,0.5078210678210678,55,2007,2010,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.516883116883117,6,0.5603022875816994,55,2007,2010,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.47453102453102464,5,0.5229699248120301,55,2007,2010,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.32647907647907654,5,0.4591305126701843,55,2007,2010,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.31500721500721507,5,0.4691528678360976,55,2007,2010,primary,Primary topic
raw_acceleration_1y,1-year acceleration,-0.22518037518037523,1,0.17024380677565712,55,2007,2010,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.6052669552669554,0,0.1201223957393607,55,2007,2010,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8167464114832537,7,0.8442307692307693,56,2008,2011,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.7408065618591935,7,0.7469642857142856,56,2008,2011,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7309637730690364,7,0.7367550505050505,56,2008,2011,primary,Primary topic
spectral_emergence_score,Fixed spectral composite,0.684894053315106,7,0.6783072483072484,56,2008,2011,primary,Primary topic
spectral_local_momentum,Local spectral momentum,0.6244019138755982,6,0.6242448249424994,56,2008,2011,primary,Primary topic
raw_acceleration_1y,1-year acceleration,0.209501025290499,2,0.25853346653346654,56,2008,2011,primary,Primary topic
cutoff_log_count,Topic size at cutoff,-0.640123034859877,0,0.11867885352390442,56,2008,2011,primary,Primary topic
baseline_growth_3y,CLR growth baseline,0.8951375382050571,7,0.7983333333333332,60,2009,2012,primary,Primary topic
raw_momentum_3y,Standardized 3-year momentum,0.8111697693803837,8,0.6330298786181138,60,2009,2012,primary,Primary topic
spectral_midband_momentum,Midband spectral momentum,0.7958877465962769,7,0.616005661005661,60,2009,2012,primary,Primary topic
