year,low_share,mid_share,high_share
1990,0.9386882093095943,0.03370016618547253,0.027611624504933298
1991,0.9531045777065675,0.022279729270951214,0.024615693022481257
1992,0.9473743452970943,0.032401661084762445,0.02022399361814329
1993,0.917208638219956,0.04555154450865867,0.037239817271385464
1994,0.9280958053159319,0.05053398626242799,0.02137020842164009
1995,0.8752849015911961,0.06294174245186779,0.061773355956935755
1996,0.9269309600950949,0.03425093253511245,0.03881810736979276
1997,0.8609831009513909,0.08354572958669662,0.055471169461912606
1998,0.8695501088539125,0.050646182097315584,0.07980370904877175
1999,0.8580146994809812,0.08544456262166021,0.05654073789735855
2000,0.8303101280090206,0.11620772226178842,0.05348214972919096
2001,0.7811979836042094,0.15415687460082642,0.06464514179496403
2002,0.8086871875554726,0.10620361499064374,0.08510919745388355
2003,0.8999533896799986,0.050567571493785206,0.04947903882621623
2004,0.8850440762627488,0.036179443028759466,0.07877648070849164
2005,0.9146768320769549,0.04609079679568419,0.03923237112736091
2006,0.9364641203240418,0.031143868428827038,0.03239201124713096
2007,0.7988216085396783,0.102547179365792,0.09863121209452962
2008,0.9528986163390736,0.024979436766574718,0.022121946894351496
2009,0.9394488386218922,0.028154873985859058,0.03239628739224849
2010,0.9080830845436904,0.047820183616417454,0.0440967318398921
2011,0.9217423022939776,0.02396709268136296,0.05429060502465924
2012,0.922346918589224,0.025048054889463274,0.05260502652131252
2013,0.9082496047007689,0.03891834157644823,0.05283205372278279
2014,0.8649591176835153,0.0840303248089028,0.0510105575075819
2015,0.9075113933130616,0.049169793181269586,0.04331881350566866
2016,0.933271896512823,0.043409553916891774,0.023318549570284848
2017,0.9612356240846267,0.01896145329813601,0.019802922617237234
2018,0.9516940980192421,0.01967771724390852,0.02862818473684926
2019,0.984208252338245,0.004197793187356902,0.01159395447439793
2020,0.9753744637698312,0.008806126778222238,0.01581940945194632
2021,0.9748080764468744,0.009519007497151547,0.015672916055974113
2022,0.9681654619299741,0.017402460210638217,0.014432077859387549
2023,0.9717624994915766,0.013605579176612127,0.014631921331811274
2024,0.9130825675138562,0.02882282240978507,0.058094610076358605
2025,0.8995866728081855,0.05251732262097842,0.04789600457083607
2026,0.7203290396021623,0.12603218894752494,0.15363877145031263
