topic_id,label,cutoff_count,count_2025,persistent_shift,share_per_million_2022,share_per_million_2025,share_multiple_2025_vs_2022,spectral_emergence_score,spectral_rank
T12128,AI in Service Interactions,2228,11454,0.9554092002692384,12234.498209853497,39897.452331357155,3.2610431210748283,0.8005977950640122,4.0
T11902,Intelligent Tutoring Systems and Adaptive Learning,978,5156,0.5632253166947722,5370.439519406067,17959.775119650556,3.3441472788262345,0.11214384771193225,12.0
T12026,Explainable Artificial Intelligence (XAI),2567,7808,0.551104713297156,14096.030926702835,27197.425161798208,1.929431934423715,0.3372832957603447,10.0
T13702,Machine Learning in Healthcare,2119,6016,0.4346027049982967,11635.95229204648,20955.393157451075,1.80091087866412,0.13843708428185608,11.0
T12611,Neural Networks and Reservoir Computing,1994,3712,0.3831766217158966,10949.546423001735,12929.923437576195,1.1808621884277757,1.2689978183124309,3.0
T14381,"Psychiatry, Mental Health, Neuroscience",252,1042,0.37939995037806207,1383.7942319942013,3629.574413242025,2.6227975587495864,0.6551674249493217,6.0
T10764,Privacy-Preserving Technologies in Data,6477,10701,0.3725909075147089,35566.806510422386,37274.54490988763,1.048014813966596,0.5931711303278158,7.0
T11512,Anomaly Detection Techniques and Applications,5508,9790,0.3466739569466475,30245.788213587544,34101.27975589196,1.1274715926699879,0.5611670482906848,8.0
T10862,AI in cancer detection,5288,9429,0.342897388426634,29037.713884068795,32843.81683537337,1.1310740183989108,2.279359783538893,1.0
T10682,Quantum Computing Algorithms and Architecture,6383,11880,0.33039771097025916,35050.62929690074,41381.32824310485,1.1806153273610738,1.547044964739176,2.0
T11652,Imbalanced Data Classification Techniques,2111,4439,0.31337072192781407,11592.022316427614,15462.26566255408,1.3338684013575155,0.6692839286963959,5.0
T13062,Cognitive Computing and Networks,432,1163,0.308600786119948,2372.218683418631,4051.050904606982,1.7076756731389346,0.5543271307440435,9.0
